V04001 V01000 V11042 V11212 V11041 V11043 V14032 V14033 V13012 V13052 V13011_000 V11002 V13011 V13007 V13003 V13004 V12012 V12011 V12212 V12211 V12201 V12001 V10202 V10201 V10004
1995 52856 220 14 32766 32766 28732 65 -22 302 88 22 2446 0 49 48 -259 284 -24 117 -1 39 7094 7341 7221 
1996 52856 280 14 32766 32766 28935 65 -15 219 81 25 2672 2 49 49 -208 289 -18 122 3 43 7041 7329 7216 
1997 52856 180 14 32766 32766 30398 69 0 251 78 20 3129 2 50 49 -197 304 -19 119 3 43 7108 7334 7221 
1998 52856 220 14 32766 32766 29754 67 -5 381 92 20 2997 0 47 51 -198 298 -8 134 17 57 7058 7350 7222 
1999 52856 223 14 32766 32766 29380 66 -2 170 89 20 3086 0 49 53 -212 319 -9 127 12 52 7061 7335 7220 
2000 52856 230 14 32766 32766 31154 70 -22 198 73 20 2440 1 48 49 -198 337 -13 124 10 50 7084 7336 7213 
2001 52856 240 14 32766 32766 30322 68 7 383 78 20 3362 1 46 49 -204 311 -11 125 11 51 7058 7332 7219 
2002 52856 233 14 32766 32766 30190 68 1 197 90 21 3168 1 48 50 -211 300 -14 127 9 49 7061 7353 7223 
2003 52856 203 13 32766 32766 30325 68 -15 191 89 20 2667 1 48 50 -223 310 -12 129 12 52 7053 7350 7217 
2004 52856 157 13 252 14 30519 69 14 248 88 16 3593 4 48 47 -222 298 -15 123 6 46 7068 7343 7220 
2005 52856 157 13 249 902 28364 64 20 226 99 14 3770 5 50 53 -195 281 -7 125 11 51 7078 7339 7214 
2006 52856 147 13 229 13 29071 66 6 268 99 15 3321 3 48 51 -199 321 -4 134 16 56 7043 7339 7218 
2007 52856 163 13 259 13 28700 65 6 339 98 15 3329 4 48 51 -201 285 -6 130 14 54 7090 7339 7218 
2008 52856 141 13 225 902 27912 63 13 382 88 15 3536 4 47 47 -234 287 -10 124 10 50 7089 7330 7217 
2009 52856 147 13 254 14 27577 62 8 245 91 16 3401 5 46 51 -202 281 -4 132 16 56 7028 7340 7213 
2010 52856 166 13 276 14 29494 67 5 422 75 18 3288 4 44 51 -228 322 -5 137 18 58 7051 7312 7212 
2011 52856 148 14 258 13 28430 64 0 224 94 15 3145 4 48 50 -208 305 -10 127 11 51 7049 7333 7209 
2012 52856 152 13 273 13 28132 63 6 241 103 15 3324 4 49 50 -230 282 -10 120 8 48 7085 7318 7200 
2013 52856 162 14 245 13 30189 68 -15 207 67 14 2757 3 42 47 -203 319 -4 139 14 60 7073 7328 7212 
